"","knr","aar","value","knavn","Menn_ya_p","Kvinner_ya_p","Total_ya_p","inc_k1","inc_k5","uni_k_mf","uni_k_m","uni_k_f","uni_l_mf","uni_l_m","uni_l_f"
"1","0101","2008",56266,"Halden",59.7489239598278,56.7976257772753,58.2621386871707,24.5,13.6,17.8,15.1,20.4,3.9,5.4,2.4
"2","0101","2009",56366,"Halden",59.7785977859779,57.0469329229908,58.4029025326711,24.4,14.1,18.2,15.4,20.9,3.9,5.4,2.5
"3","0101","2010",57210,"Halden",59.6429821491075,57.0630046235595,58.3437586877954,23.9,13.7,18.6,15.6,21.6,4.1,5.5,2.7
"4","0101","2011",58010,"Halden",59.8463016330452,57.2238153762119,58.5318275154004,24,14,19,15.8,22.2,4.4,5.8,3
"5","0101","2012",58787,"Halden",59.4512195121951,57.0046675235067,58.2269911654199,23.9,14,19.6,16.2,22.9,4.6,5.9,3.3
"6","0101","2013",59453,"Halden",58.9779747515445,56.7387243127836,57.8547523427042,24.1,13.4,19.9,16.4,23.3,4.6,5.8,3.4
"7","0101","2014",63033,"Halden",58.7601436743382,56.7293681282289,57.7425992300544,23.9,13.5,20.6,17,24,4.9,6.1,3.8
"8","0101","2015",63747,"Halden",58.7145682267634,56.8478691120201,57.7815879715115,24,13.7,21,17.2,24.8,5.2,6.4,4.1
"9","0101","2016",65624,"Halden",58.6894028485561,56.6412915080719,57.6676270298586,24,13.8,21.4,17.4,25.4,5.4,6.5,4.4
"10","0101","2017",65919,"Halden",58.9413817617786,56.8518639420252,57.9019162065606,23.7,14,21.6,17.5,25.7,5.6,6.5,4.7
"11","0104","2008",69916,"Moss",60.6985062066064,58.6742270824895,59.6670450245933,22.8,16.2,19.1,16.6,21.4,5.5,7.1,4
"12","0104","2009",69933,"Moss",60.6928851849301,58.9222907956732,59.7911315398134,23.3,16,19.2,16.6,21.6,5.6,7.3,4.1
"13","0104","2010",68390,"Moss",60.4149715215622,58.5198272477424,59.4505494505495,22.7,15.9,19.4,16.9,21.8,5.9,7.5,4.5
"14","0104","2011",70540,"Moss",60.1809045226131,58.2073011734029,59.1805716173798,22.8,15.8,19.8,17.2,22.2,6.1,7.5,4.7
"15","0104","2012",72721,"Moss",59.7690531177829,57.8943987667009,58.819125736419,22.6,15.6,20.2,17.6,22.6,6.3,7.6,5.1
"16","0104","2013",72253,"Moss",59.6072290728779,57.5569886980397,58.5710597650704,23.2,15.3,20.5,17.7,23.1,6.6,7.7,5.5
"17","0104","2014",73458,"Moss",59.2418283798594,57.1437614736975,58.1832119586048,23.4,15.3,20.9,18,23.6,7.2,8.2,6.1
